Year,State,State Code,County,County Code,Multiple Cause of death,Multiple Cause of death Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate
2013,Arizona,4,"Maricopa County, AZ",4013,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,4009412,0.6
2013,Arizona,4,"Maricopa County, AZ",4013,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,4009412,Unreliable
2013,Arizona,4,"Maricopa County, AZ",4013,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,4009412,Unreliable
2013,Arizona,4,"Maricopa County, AZ",4013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,329,4009412,8.2
2013,Arizona,4,"Maricopa County, AZ",4013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,75,4009412,1.9
2013,Arizona,4,"Maricopa County, AZ",4013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,62,4009412,1.5
2013,Arizona,4,"Mohave County, AZ",4015,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,203030,Unreliable
2013,Arizona,4,"Mohave County, AZ",4015,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,203030,Unreliable
2013,Arizona,4,"Mohave County, AZ",4015,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,11,203030,Unreliable
2013,Arizona,4,"Navajo County, AZ",4017,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,107322,Unreliable
2013,Arizona,4,"Pima County, AZ",4019,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,42,996554,4.2
2013,Arizona,4,"Pima County, AZ",4019,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,72,996554,7.2
2013,Arizona,4,"Pima County, AZ",4019,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,996554,2.2
2013,Arizona,4,"Pima County, AZ",4019,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,996554,Unreliable
2013,Arizona,4,"Pima County, AZ",4019,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,996554,Unreliable
2013,Arizona,4,"Pima County, AZ",4019,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,105,996554,10.5
2013,Arizona,4,"Pima County, AZ",4019,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,16,996554,Unreliable
2013,Arizona,4,"Pinal County, AZ",4021,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,389350,Unreliable
2013,Arizona,4,"Pinal County, AZ",4021,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,389350,6.7
2013,Arizona,4,"Yavapai County, AZ",4025,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,215133,13
2013,Arizona,4,"Yavapai County, AZ",4025,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,11,215133,Unreliable
2013,Arizona,4,"Yavapai County, AZ",4025,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,215133,Unreliable
2013,Arizona,4,"Yuma County, AZ",4027,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,201201,10.4
2013,Arkansas,5,"Pulaski County, AR",5119,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,391284,Unreliable
2013,Arkansas,5,"Pulaski County, AR",5119,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,391284,5.6
2013,California,6,"Alameda County, CA",6001,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,1578891,Unreliable
2013,California,6,"Alameda County, CA",6001,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,96,1578891,6.1
2013,California,6,"Alameda County, CA",6001,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,15,1578891,Unreliable
2013,California,6,"Butte County, CA",6007,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,222090,18
2013,California,6,"Contra Costa County, CA",6013,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,1094205,Unreliable
2013,California,6,"Contra Costa County, CA",6013,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,1094205,Unreliable
2013,California,6,"Contra Costa County, CA",6013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,45,1094205,4.1
2013,California,6,"El Dorado County, CA",6017,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,181737,16
2013,California,6,"Fresno County, CA",6019,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,955272,3
2013,California,6,"Fresno County, CA",6019,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,955272,Unreliable
2013,California,6,"Humboldt County, CA",6023,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,134493,Unreliable
2013,California,6,"Humboldt County, CA",6023,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,134493,Unreliable
2013,California,6,"Imperial County, CA",6025,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,176584,Unreliable
2013,California,6,"Kern County, CA",6029,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,864124,Unreliable
2013,California,6,"Kern County, CA",6029,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,864124,Unreliable
2013,California,6,"Kern County, CA",6029,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,864124,Unreliable
2013,California,6,"Kern County, CA",6029,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,108,864124,12.5
2013,California,6,"Kern County, CA",6029,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,11,864124,Unreliable
2013,California,6,"Lake County, CA",6033,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,63860,Unreliable
2013,California,6,"Lake County, CA",6033,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,63860,40.7
2013,California,6,"Los Angeles County, CA",6037,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,154,10017068,1.5
2013,California,6,"Los Angeles County, CA",6037,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,160,10017068,1.6
2013,California,6,"Los Angeles County, CA",6037,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,13,10017068,Unreliable
2013,California,6,"Los Angeles County, CA",6037,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,10017068,0.3
2013,California,6,"Los Angeles County, CA",6037,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,10017068,Unreliable
2013,California,6,"Los Angeles County, CA",6037,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,10017068,Unreliable
2013,California,6,"Los Angeles County, CA",6037,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,432,10017068,4.3
2013,California,6,"Los Angeles County, CA",6037,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,78,10017068,0.8
2013,California,6,"Madera County, CA",6039,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,152389,Unreliable
2013,California,6,"Marin County, CA",6041,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,258365,Unreliable
2013,California,6,"Mendocino County, CA",6045,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,87192,Unreliable
2013,California,6,"Merced County, CA",6047,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,263228,Unreliable
2013,California,6,"Monterey County, CA",6053,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,428826,Unreliable
2013,California,6,"Monterey County, CA",6053,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,39,428826,9.1
2013,California,6,"Napa County, CA",6055,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,140326,Unreliable
2013,California,6,"Nevada County, CA",6057,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,98200,Unreliable
2013,California,6,"Orange County, CA",6059,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,51,3114363,1.6
2013,California,6,"Orange County, CA",6059,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,110,3114363,3.5
2013,California,6,"Orange County, CA",6059,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,34,3114363,1.1
2013,California,6,"Orange County, CA",6059,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,3114363,0.9
2013,California,6,"Orange County, CA",6059,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,3114363,0.7
2013,California,6,"Orange County, CA",6059,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,149,3114363,4.8
2013,California,6,"Orange County, CA",6059,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,44,3114363,1.4
2013,California,6,"Placer County, CA",6061,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,367309,6
2013,California,6,"Riverside County, CA",6065,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,57,2292507,2.5
2013,California,6,"Riverside County, CA",6065,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,2292507,1.6
2013,California,6,"Riverside County, CA",6065,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,2292507,Unreliable
2013,California,6,"Riverside County, CA",6065,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,239,2292507,10.4
2013,California,6,"Riverside County, CA",6065,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,33,2292507,1.4
2013,California,6,"Sacramento County, CA",6067,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,1462131,Unreliable
2013,California,6,"Sacramento County, CA",6067,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,1462131,2.3
2013,California,6,"Sacramento County, CA",6067,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,16,1462131,Unreliable
2013,California,6,"Sacramento County, CA",6067,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,1462131,Unreliable
2013,California,6,"Sacramento County, CA",6067,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,1462131,Unreliable
2013,California,6,"Sacramento County, CA",6067,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,59,1462131,4
2013,California,6,"Sacramento County, CA",6067,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,40,1462131,2.7
2013,California,6,"Sacramento County, CA",6067,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12,1462131,Unreliable
2013,California,6,"San Bernardino County, CA",6071,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,2088371,Unreliable
2013,California,6,"San Bernardino County, CA",6071,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,2088371,Unreliable
2013,California,6,"San Bernardino County, CA",6071,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,2088371,1.6
2013,California,6,"San Bernardino County, CA",6071,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,13,2088371,Unreliable
2013,California,6,"San Diego County, CA",6073,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,63,3211252,2
2013,California,6,"San Diego County, CA",6073,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,110,3211252,3.4
2013,California,6,"San Diego County, CA",6073,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,24,3211252,0.7
2013,California,6,"San Diego County, CA",6073,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,3211252,1.1
2013,California,6,"San Diego County, CA",6073,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,3211252,1
2013,California,6,"San Diego County, CA",6073,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Suicide (X60-X64),D2,10,3211252,Unreliable
2013,California,6,"San Diego County, CA",6073,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,3211252,Unreliable
2013,California,6,"San Diego County, CA",6073,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,74,3211252,2.3
2013,California,6,"San Diego County, CA",6073,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,20,3211252,0.6
2013,California,6,"San Francisco County, CA",6075,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,837442,Unreliable
2013,California,6,"San Francisco County, CA",6075,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,837442,4.9
2013,California,6,"San Francisco County, CA",6075,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,837442,2.4
2013,California,6,"San Francisco County, CA",6075,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,82,837442,9.8
2013,California,6,"San Francisco County, CA",6075,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,11,837442,Unreliable
2013,California,6,"San Joaquin County, CA",6077,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,39,704379,5.5
2013,California,6,"San Joaquin County, CA",6077,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,704379,Unreliable
2013,California,6,"San Joaquin County, CA",6077,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,38,704379,5.4
2013,California,6,"San Luis Obispo County, CA",6079,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,276443,Unreliable
2013,California,6,"San Luis Obispo County, CA",6079,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,276443,Unreliable
2013,California,6,"San Mateo County, CA",6081,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,747373,Unreliable
2013,California,6,"San Mateo County, CA",6081,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,747373,3.3
2013,California,6,"Santa Barbara County, CA",6083,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,31,435697,7.1
2013,California,6,"Santa Clara County, CA",6085,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,1862041,1.2
2013,California,6,"Santa Clara County, CA",6085,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,1862041,Unreliable
2013,California,6,"Santa Clara County, CA",6085,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,57,1862041,3.1
2013,California,6,"Santa Clara County, CA",6085,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,21,1862041,1.1
2013,California,6,"Santa Cruz County, CA",6087,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,269419,Unreliable
2013,California,6,"Santa Cruz County, CA",6087,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,269419,Unreliable
2013,California,6,"Shasta County, CA",6089,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,178980,Unreliable
2013,California,6,"Shasta County, CA",6089,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,178980,22.3
2013,California,6,"Solano County, CA",6095,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,424788,6.8
2013,California,6,"Sonoma County, CA",6097,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,495025,Unreliable
2013,California,6,"Stanislaus County, CA",6099,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,525491,Unreliable
2013,California,6,"Stanislaus County, CA",6099,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,42,525491,8
2013,California,6,"Tulare County, CA",6107,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,454143,4.6
2013,California,6,"Ventura County, CA",6111,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,839620,3.1
2013,California,6,"Ventura County, CA",6111,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,839620,2.7
2013,California,6,"Ventura County, CA",6111,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,11,839620,Unreliable
2013,California,6,"Ventura County, CA",6111,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,95,839620,11.3
2013,California,6,"Ventura County, CA",6111,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,21,839620,2.5
2013,California,6,"Yolo County, CA",6113,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,204593,Unreliable
2013,Colorado,8,"Adams County, CO",8001,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,469193,6.8
2013,Colorado,8,"Adams County, CO",8001,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,46,469193,9.8
2013,Colorado,8,"Adams County, CO",8001,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,10,469193,Unreliable
2013,Colorado,8,"Arapahoe County, CO",8005,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,607070,Unreliable
2013,Colorado,8,"Arapahoe County, CO",8005,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,61,607070,10
2013,Colorado,8,"Arapahoe County, CO",8005,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,21,607070,3.5
2013,Colorado,8,"Boulder County, CO",8013,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,310048,Unreliable
2013,Colorado,8,"Boulder County, CO",8013,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,310048,Unreliable
2013,Colorado,8,"Boulder County, CO",8013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,310048,9.4
2013,Colorado,8,"Boulder County, CO",8013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,10,310048,Unreliable
2013,Colorado,8,"Denver County, CO",8031,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,649495,3.8
2013,Colorado,8,"Denver County, CO",8031,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,31,649495,4.8
2013,Colorado,8,"Denver County, CO",8031,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,649495,Unreliable
2013,Colorado,8,"Denver County, CO",8031,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,649495,Unreliable
2013,Colorado,8,"Denver County, CO",8031,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,65,649495,10
2013,Colorado,8,"Denver County, CO",8031,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,19,649495,Unreliable
2013,Colorado,8,"Douglas County, CO",8035,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,305963,Unreliable
2013,Colorado,8,"El Paso County, CO",8041,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,655044,Unreliable
2013,Colorado,8,"El Paso County, CO",8041,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,655044,Unreliable
2013,Colorado,8,"El Paso County, CO",8041,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,655044,4.3
2013,Colorado,8,"El Paso County, CO",8041,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,10,655044,Unreliable
2013,Colorado,8,"Jefferson County, CO",8059,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,551798,Unreliable
2013,Colorado,8,"Jefferson County, CO",8059,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,551798,Unreliable
