"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"UCD - Drug/Alcohol Induced Cause"	"UCD - Drug/Alcohol Induced Cause Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	51	660367	7.7	5.8	10.2	1.1	8.2	6.1	10.8	1.2	0.0%
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	10	156993	Unreliable	3.1	11.7	2.0	Unreliable	3.6	13.8	2.4	0.0%
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	15	346892	Unreliable	2.4	7.1	1.1	Unreliable	2.4	6.9	1.1	0.0%
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	15	350299	Unreliable	2.4	7.1	1.1	Unreliable	2.7	8.0	1.3	0.0%
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	28	353089	7.9	5.3	11.5	1.5	8.0	5.3	11.7	1.6	0.0%
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	11	94760	Unreliable	5.8	20.8	3.5	Unreliable	6.0	21.5	3.7	0.0%
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	94636	Unreliable	11.3	30.1	4.5	Unreliable	12.9	34.4	5.2	0.0%
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	23	94725	24.3	15.4	36.4	5.1	24.9	15.6	37.7	5.3	0.0%
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	43	414079	10.4	7.5	14.0	1.6	10.7	7.7	14.5	1.7	0.0%
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	10	415123	Unreliable	1.2	4.4	0.8	Unreliable	1.0	4.1	0.7	0.0%
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	49	415123	11.8	8.7	15.6	1.7	12.0	8.8	15.9	1.8	0.0%
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	13	415395	Unreliable	1.7	5.4	0.9	Unreliable	1.7	5.6	0.9	0.0%
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	50	415395	12.0	8.9	15.9	1.7	12.4	9.1	16.4	1.8	0.0%
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	226189	Unreliable	4.4	12.0	1.8	Unreliable	4.3	12.3	1.9	0.0%
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	119787	Unreliable	8.9	23.7	3.5	Unreliable	9.0	24.8	3.7	0.0%
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	20	119565	16.7	10.2	25.8	3.7	17.4	10.5	27.2	3.9	0.0%
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	13	86308	Unreliable	8.0	25.8	4.2	Unreliable	8.4	27.0	4.4	0.0%
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	16	86697	Unreliable	10.5	30.0	4.6	Unreliable	9.6	28.3	4.4	0.0%
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	13	87074	Unreliable	7.9	25.5	4.1	Unreliable	8.3	26.7	4.4	0.0%
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	26	204180	12.7	8.3	18.7	2.5	12.4	8.0	18.2	2.4	0.0%
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	10	206655	Unreliable	2.3	8.9	1.5	Unreliable	2.4	9.3	1.6	0.0%
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	25	206655	12.1	7.8	17.9	2.4	11.5	7.4	17.1	2.3	0.0%
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	28	208713	13.4	8.9	19.4	2.5	14.2	9.4	20.5	2.7	0.0%
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	10	81096	Unreliable	5.9	22.7	3.9	Unreliable	6.4	24.6	4.2	0.0%
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	24	200821	12.0	7.7	17.8	2.4	12.8	8.1	19.2	2.7	0.0%
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	19	202212	Unreliable	5.7	14.7	2.2	Unreliable	5.8	15.3	2.3	0.0%
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	203976	Unreliable	4.9	13.3	2.0	Unreliable	5.2	14.8	2.3	0.0%
	"Alabama"	"01"	"Walker County, AL"	"01127"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	65998	Unreliable	16.2	43.1	6.4	Unreliable	19.8	52.9	7.9	0.0%
	"Alabama"	"01"	"Walker County, AL"	"01127"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	12	65471	Unreliable	9.5	32.0	5.3	Unreliable	10.1	36.1	6.0	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	15	300950	Unreliable	2.8	8.2	1.3	Unreliable	2.5	7.8	1.2	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	17	300950	Unreliable	3.3	9.0	1.4	Unreliable	3.1	9.3	1.4	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	19	300950	Unreliable	3.8	9.9	1.4	Unreliable	3.6	9.7	1.4	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	14	301010	Unreliable	2.5	7.8	1.2	Unreliable	2.3	7.5	1.2	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	13	301010	Unreliable	2.3	7.4	1.2	Unreliable	2.3	7.6	1.2	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	27	301010	9.0	5.9	13.1	1.7	8.9	5.8	13.0	1.8	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	19	298695	Unreliable	3.8	9.9	1.5	Unreliable	3.3	8.7	1.3	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	20	298695	6.7	4.1	10.3	1.5	6.1	3.7	9.5	1.4	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	11	298695	Unreliable	1.8	6.6	1.1	Unreliable	1.6	6.3	1.1	0.0%
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	43	298695	14.4	10.4	19.4	2.2	13.7	9.9	18.6	2.1	0.0%
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	11	58059	Unreliable	9.5	33.9	5.7	Unreliable	8.3	31.7	5.5	0.0%
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	15	97882	Unreliable	8.6	25.3	4.0	Unreliable	8.1	24.9	3.9	0.0%
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	11	101095	Unreliable	5.4	19.5	3.3	Unreliable	5.6	20.1	3.5	0.0%
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	10	127448	Unreliable	3.8	14.4	2.5	Unreliable	3.6	15.1	2.6	0.0%
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	126427	Unreliable	7.8	21.5	3.3	Unreliable	7.9	22.4	3.5	0.0%
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	19	136539	Unreliable	8.4	21.7	3.2	Unreliable	9.2	24.5	3.7	0.0%
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	11	139097	Unreliable	3.9	14.1	2.4	Unreliable	4.1	15.8	2.7	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	75	4009412	1.9	1.5	2.3	0.2	1.9	1.5	2.3	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	63	4009412	1.6	1.2	2.0	0.2	1.6	1.2	2.1	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	24	4009412	0.6	0.4	0.9	0.1	0.6	0.4	0.9	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other synthetic narcotics"	"T40.4"	15	4009412	Unreliable	0.2	0.6	0.1	Unreliable	0.2	0.6	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	16	4009412	Unreliable	0.2	0.6	0.1	Unreliable	0.2	0.7	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	329	4009412	8.2	7.3	9.1	0.5	8.3	7.4	9.2	0.5	0.2%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other opioids"	"T40.2"	16	4009412	Unreliable	0.2	0.6	0.1	Unreliable	0.2	0.7	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	75	4009412	1.9	1.5	2.3	0.2	1.8	1.4	2.3	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Other opioids"	"T40.2"	18	4009412	Unreliable	0.3	0.7	0.1	Unreliable	0.3	0.7	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	62	4009412	1.5	1.2	2.0	0.2	1.5	1.2	2.0	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	112	4087191	2.7	2.2	3.2	0.3	2.7	2.2	3.2	0.3	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	106	4087191	2.6	2.1	3.1	0.3	2.6	2.1	3.1	0.3	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	30	4087191	0.7	0.5	1.0	0.1	0.7	0.5	1.0	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other synthetic narcotics"	"T40.4"	21	4087191	0.5	0.3	0.8	0.1	0.5	0.3	0.8	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	304	4087191	7.4	6.6	8.3	0.4	7.5	6.7	8.4	0.4	0.2%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other opioids"	"T40.2"	23	4087191	0.6	0.4	0.8	0.1	0.5	0.3	0.8	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	78	4087191	1.9	1.5	2.4	0.2	1.8	1.4	2.3	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	51	4087191	1.2	0.9	1.6	0.2	1.2	0.9	1.6	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	138	4167947	3.3	2.8	3.9	0.3	3.4	2.8	4.0	0.3	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	124	4167947	3.0	2.5	3.5	0.3	3.1	2.5	3.6	0.3	0.1%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	41	4167947	1.0	0.7	1.3	0.2	1.0	0.7	1.3	0.2	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other synthetic narcotics"	"T40.4"	30	4167947	0.7	0.5	1.0	0.1	0.7	0.5	1.1	0.1	0.0%
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	270	4167947	6.5	5.7	7.3	0.4	6.6	5.8	7.4	0.4	0.2%
