State,State Code,County,County Code,Year,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
Alabama,1,"Jefferson County, AL",1073,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,27,659521,4.1,2.7,6,0.8,4.4,2.9,6.4,0.9,0.00%
Alabama,1,"Jefferson County, AL",1073,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,14,659521,Unreliable,1.2,3.6,0.6,Unreliable,1.1,3.5,0.6,0.00%
Alabama,1,"Jefferson County, AL",1073,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,93,659521,14.1,11.4,17.3,1.5,14.7,11.8,18.1,1.6,0.10%
Alabama,1,"Jefferson County, AL",1073,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,60,659521,9.1,6.9,11.7,1.2,9.1,6.9,11.8,1.2,0.00%
Alabama,1,"Jefferson County, AL",1073,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,79,659197,12,9.5,14.9,1.3,12.6,9.9,15.7,1.4,0.00%
Alabama,1,"Jefferson County, AL",1073,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,29,659197,4.4,2.9,6.3,0.8,4.4,2.9,6.3,0.8,0.00%
Alabama,1,"Jefferson County, AL",1073,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,90,659197,13.7,11,16.8,1.4,14.5,11.6,17.8,1.5,0.10%
Alabama,1,"Jefferson County, AL",1073,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,83,659197,12.6,10,15.6,1.4,13.4,10.6,16.7,1.5,0.00%
Alabama,1,"Lee County, AL",1081,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,161604,Unreliable,3.4,12.2,2.1,Unreliable,3.5,13.4,2.2,0.00%
Alabama,1,"Madison County, AL",1089,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,42,356967,11.8,8.5,15.9,1.8,11.6,8.3,15.8,1.8,0.00%
Alabama,1,"Madison County, AL",1089,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,10,361046,Unreliable,1.3,5.1,0.9,Unreliable,1.4,5.5,1,0.00%
Alabama,1,"Madison County, AL",1089,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,45,361046,12.5,9.1,16.7,1.9,13.1,9.5,17.7,2,0.00%
Alabama,1,"Marshall County, AL",1095,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,95157,Unreliable,6.5,22,3.6,Unreliable,6.4,23.1,3.8,0.00%
Alabama,1,"Mobile County, AL",1097,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,38,414836,9.2,6.5,12.6,1.5,9.3,6.5,12.9,1.5,0.00%
Alabama,1,"Mobile County, AL",1097,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,23,413955,5.6,3.5,8.3,1.2,6.4,4,9.7,1.4,0.00%
Alabama,1,"Montgomery County, AL",1101,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,226349,Unreliable,2.7,9.3,1.5,Unreliable,2.6,9.5,1.6,0.00%
Alabama,1,"Montgomery County, AL",1101,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,226646,Unreliable,2.4,8.7,1.5,Unreliable,2.4,9.3,1.6,0.00%
Alabama,1,"Morgan County, AL",1103,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,15,118818,Unreliable,7.1,20.8,3.3,Unreliable,8.1,23.9,3.8,0.00%
Alabama,1,"St. Clair County, AL",1115,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,16,88019,Unreliable,10.4,29.5,4.5,Unreliable,10.9,32.1,5,0.00%
Alabama,1,"St. Clair County, AL",1115,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,88199,Unreliable,6.2,22.3,3.8,Unreliable,6.5,23.5,4,0.00%
Alabama,1,"Shelby County, AL",1117,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,10,210622,Unreliable,2.3,8.7,1.5,Unreliable,2.5,9.7,1.7,0.00%
Alabama,1,"Shelby County, AL",1117,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,16,210622,Unreliable,4.3,12.3,1.9,Unreliable,4.8,13.7,2.1,0.00%
Alabama,1,"Shelby County, AL",1117,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,33,210622,15.7,10.8,22,2.7,16.7,11.5,23.4,2.9,0.00%
Alabama,1,"Shelby County, AL",1117,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,10,213605,Unreliable,2.2,8.6,1.5,Unreliable,2.3,8.9,1.6,0.00%
Alabama,1,"Shelby County, AL",1117,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,13,213605,Unreliable,3.2,10.4,1.7,Unreliable,3.5,11.3,1.8,0.00%
Alabama,1,"Shelby County, AL",1117,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,10,213605,Unreliable,2.2,8.6,1.5,Unreliable,2.4,9,1.6,0.00%
Alabama,1,"Shelby County, AL",1117,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,15,213605,Unreliable,3.9,11.6,1.8,Unreliable,3.9,11.5,1.8,0.00%
Alabama,1,"Talladega County, AL",1121,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,80065,Unreliable,6.9,24.6,4.1,Unreliable,7.5,26.8,4.6,0.00%
Alabama,1,"Tuscaloosa County, AL",1125,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,23,206102,11.2,7.1,16.7,2.3,12.7,8,19.3,2.7,0.00%
Alabama,1,"Tuscaloosa County, AL",1125,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,19,207811,Unreliable,5.5,14.3,2.1,Unreliable,5.6,14.9,2.2,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,25,298192,8.4,5.4,12.4,1.7,8.2,5.2,12.1,1.7,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,14,298192,Unreliable,2.6,7.9,1.3,Unreliable,2.4,7.9,1.3,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other and unspecified narcotics,T40.6,10,298192,Unreliable,1.6,6.2,1.1,Unreliable,1.5,5.7,1,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,35,298192,11.7,8.2,16.3,2,11,7.6,15.5,1.9,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,18,294356,Unreliable,3.6,9.7,1.4,Unreliable,3.5,9.5,1.4,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,18,294356,Unreliable,3.6,9.7,1.4,Unreliable,3.7,10.1,1.5,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,20,294356,6.8,4.2,10.5,1.5,6.5,3.9,10.2,1.5,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other and unspecified narcotics,T40.6,13,294356,Unreliable,2.4,7.6,1.2,Unreliable,2.4,7.6,1.3,0.00%
Alaska,2,"Anchorage Borough, AK",2020,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,54,294356,18.3,13.8,23.9,2.5,18.5,13.8,24.3,2.6,0.00%
Alaska,2,"Fairbanks North Star Borough, AK",2090,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,100605,Unreliable,6.2,20.8,3.4,Unreliable,5.7,20.6,3.4,0.00%
Alaska,2,"Fairbanks North Star Borough, AK",2090,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,10,99703,Unreliable,4.8,18.4,3.2,Unreliable,4.5,18.6,3.2,0.00%
Alaska,2,"Juneau Borough, AK",2110,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,10,32094,Unreliable,14.9,57.3,9.9,Unreliable,15,57.5,10,0.00%
Alaska,2,"Kenai Peninsula Borough, AK",2122,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,58506,Unreliable,10.6,35.8,5.9,Unreliable,9.4,36.1,6.1,0.00%
Alaska,2,"Matanuska-Susitna Borough, AK",2170,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,15,104365,Unreliable,8,23.7,3.7,Unreliable,8.2,24.2,3.8,0.00%
Alaska,2,"Matanuska-Susitna Borough, AK",2170,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,14,106532,Unreliable,7.2,22,3.5,Unreliable,7.2,22.2,3.6,0.00%
Arizona,4,"Cochise County, AZ",4003,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,13,125770,Unreliable,5.5,17.7,2.9,Unreliable,5.9,19.8,3.3,0.00%
Arizona,4,"Coconino County, AZ",4005,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,13,140908,Unreliable,4.9,15.8,2.6,Unreliable,5,17,2.8,0.00%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,195,4242997,4.6,4,5.2,0.3,4.6,3.9,5.2,0.3,0.10%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,159,4242997,3.7,3.2,4.3,0.3,3.8,3.2,4.4,0.3,0.10%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,38,4242997,0.9,0.6,1.2,0.1,0.8,0.6,1.2,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,82,4242997,1.9,1.5,2.4,0.2,2,1.6,2.4,0.2,0.00%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,269,4242997,6.3,5.6,7.1,0.4,6.3,5.6,7.1,0.4,0.20%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Suicide (X60-X64),D2,Other opioids,T40.2,25,4242997,0.6,0.4,0.9,0.1,0.6,0.4,0.9,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Suicide (X60-X64),D2,"Other and unspecified drugs, medicaments and biological substances",T50.9,65,4242997,1.5,1.2,2,0.2,1.4,1.1,1.8,0.2,0.00%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Other opioids,T40.2,15,4242997,Unreliable,0.2,0.6,0.1,Unreliable,0.2,0.5,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2016,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,"Other and unspecified drugs, medicaments and biological substances",T50.9,30,4242997,0.7,0.5,1,0.1,0.7,0.5,1,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,222,4307033,5.2,4.5,5.8,0.3,5.2,4.5,5.9,0.4,0.10%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,190,4307033,4.4,3.8,5,0.3,4.4,3.8,5,0.3,0.10%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,51,4307033,1.2,0.9,1.6,0.2,1.2,0.9,1.5,0.2,0.00%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,197,4307033,4.6,3.9,5.2,0.3,4.7,4,5.4,0.3,0.10%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other and unspecified narcotics,T40.6,11,4307033,Unreliable,0.1,0.5,0.1,Unreliable,0.1,0.5,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,386,4307033,9,8.1,9.9,0.5,9,8.1,9.9,0.5,0.20%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Suicide (X60-X64),D2,Other opioids,T40.2,32,4307033,0.7,0.5,1,0.1,0.7,0.4,0.9,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Suicide (X60-X64),D2,"Other and unspecified drugs, medicaments and biological substances",T50.9,59,4307033,1.4,1,1.8,0.2,1.3,1,1.7,0.2,0.00%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Other opioids,T40.2,11,4307033,Unreliable,0.1,0.5,0.1,Unreliable,0.1,0.4,0.1,0.00%
Arizona,4,"Maricopa County, AZ",4013,2017,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,"Other and unspecified drugs, medicaments and biological substances",T50.9,20,4307033,0.5,0.3,0.7,0.1,0.4,0.3,0.7,0.1,0.00%
Arizona,4,"Mohave County, AZ",4015,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,11,205249,Unreliable,2.7,9.6,1.6,Unreliable,2.7,11.1,2,0.00%
Arizona,4,"Mohave County, AZ",4015,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other and unspecified narcotics,T40.6,12,205249,Unreliable,3,10.2,1.7,Unreliable,4,14.3,2.4,0.00%
Arizona,4,"Mohave County, AZ",4015,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,25,205249,12.2,7.9,18,2.4,15.1,9.5,22.6,3.2,0.00%
Arizona,4,"Mohave County, AZ",4015,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other and unspecified narcotics,T40.6,15,207200,Unreliable,4.1,11.9,1.9,Unreliable,5.1,15.7,2.5,0.00%
Arizona,4,"Mohave County, AZ",4015,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,23,207200,11.1,7,16.7,2.3,13.3,8.1,20.6,3,0.00%
Arizona,4,"Mohave County, AZ",4015,2017,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Other and unspecified narcotics,T40.6,11,207200,Unreliable,2.7,9.5,1.6,Unreliable,2.5,11.5,2,0.00%
Arizona,4,"Mohave County, AZ",4015,2017,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,"Other and unspecified drugs, medicaments and biological substances",T50.9,18,207200,Unreliable,5.1,13.7,2,Unreliable,6,17.7,2.8,0.00%
Arizona,4,"Navajo County, AZ",4017,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,14,110026,Unreliable,7,21.3,3.4,Unreliable,7.3,23.4,3.7,0.00%
Arizona,4,"Pima County, AZ",4019,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,69,1016206,6.8,5.3,8.6,0.8,7.4,5.7,9.4,0.9,0.00%
Arizona,4,"Pima County, AZ",4019,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,55,1016206,5.4,4.1,7,0.7,5.7,4.2,7.5,0.8,0.00%
Arizona,4,"Pima County, AZ",4019,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,17,1016206,Unreliable,1,2.7,0.4,Unreliable,1.1,3.2,0.5,0.00%
Arizona,4,"Pima County, AZ",4019,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,18,1016206,Unreliable,1,2.8,0.4,Unreliable,1,2.8,0.4,0.00%
Arizona,4,"Pima County, AZ",4019,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,122,1016206,12,9.9,14.1,1.1,12.8,10.5,15.1,1.2,0.10%
Arizona,4,"Pima County, AZ",4019,2016,Drug poisonings (overdose) Suicide (X60-X64),D2,"Other and unspecified drugs, medicaments and biological substances",T50.9,13,1016206,Unreliable,0.7,2.2,0.4,Unreliable,0.6,2.2,0.4,0.00%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,66,1022769,6.5,5,8.2,0.8,7,5.4,9,0.9,0.00%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,55,1022769,5.4,4.1,7,0.7,5.7,4.2,7.5,0.8,0.00%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,21,1022769,2.1,1.3,3.1,0.4,2.2,1.4,3.4,0.5,0.00%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,32,1022769,3.1,2.1,4.4,0.6,3.5,2.4,5,0.6,0.00%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,99,1022769,9.7,7.9,11.8,1,10.7,8.6,13.1,1.1,0.10%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Suicide (X60-X64),D2,Other opioids,T40.2,11,1022769,Unreliable,0.5,1.9,0.3,Unreliable,0.4,1.7,0.3,0.00%
Arizona,4,"Pima County, AZ",4019,2017,Drug poisonings (overdose) Suicide (X60-X64),D2,"Other and unspecified drugs, medicaments and biological substances",T50.9,17,1022769,Unreliable,1,2.7,0.4,Unreliable,0.9,2.7,0.4,0.00%
Arizona,4,"Pinal County, AZ",4021,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,15,418540,Unreliable,2,5.9,0.9,Unreliable,2.3,6.8,1.1,0.00%
Arizona,4,"Pinal County, AZ",4021,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,23,418540,5.5,3.5,8.2,1.1,6,3.8,9.1,1.3,0.00%
Arizona,4,"Pinal County, AZ",4021,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,13,430237,Unreliable,1.6,5.2,0.8,Unreliable,1.8,5.9,1,0.00%
Arizona,4,"Pinal County, AZ",4021,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,10,430237,Unreliable,1.1,4.3,0.7,Unreliable,1.1,4.3,0.8,0.00%
Arizona,4,"Pinal County, AZ",4021,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,19,430237,Unreliable,2.7,6.9,1,Unreliable,2.7,7.1,1.1,0.00%
Arizona,4,"Yavapai County, AZ",4025,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,25,225562,11.1,7.2,16.4,2.2,11.9,7.2,18.3,2.7,0.00%
Arizona,4,"Yavapai County, AZ",4025,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,12,228168,Unreliable,2.7,9.2,1.5,Unreliable,3.7,13.3,2.2,0.00%
Arizona,4,"Yavapai County, AZ",4025,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,19,228168,Unreliable,5,13,1.9,Unreliable,5.1,14.4,2.2,0.00%
Arizona,4,"Yuma County, AZ",4027,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,32,205631,15.6,10.6,22,2.8,17.4,11.7,24.8,3.2,0.00%
Arizona,4,"Yuma County, AZ",4027,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,20,207534,9.6,5.9,14.9,2.2,10.7,6.4,16.6,2.4,0.00%
Arkansas,5,"Benton County, AR",5007,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,14,258291,Unreliable,3,9.1,1.4,Unreliable,3,9.1,1.5,0.00%
Arkansas,5,"Benton County, AR",5007,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,20,258291,7.7,4.7,12,1.7,7.7,4.7,11.9,1.7,0.00%
Arkansas,5,"Benton County, AR",5007,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,266300,Unreliable,2.1,7.4,1.2,Unreliable,2.1,7.5,1.3,0.00%
Arkansas,5,"Garland County, AR",5051,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,97477,Unreliable,5.6,20.2,3.4,Unreliable,6.1,23.5,4,0.00%
Arkansas,5,"Garland County, AR",5051,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,12,98658,Unreliable,6.3,21.2,3.5,Unreliable,6.2,22.1,3.7,0.00%
Arkansas,5,"Garland County, AR",5051,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,16,98658,Unreliable,9.3,26.3,4.1,Unreliable,9.6,28.2,4.5,0.00%
Arkansas,5,"Pulaski County, AR",5119,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,12,393250,Unreliable,1.6,5.3,0.9,Unreliable,1.8,6,1,0.00%
Arkansas,5,"Pulaski County, AR",5119,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,22,393250,5.6,3.5,8.5,1.2,5.6,3.5,8.6,1.2,0.00%
Arkansas,5,"Pulaski County, AR",5119,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,12,393956,Unreliable,1.6,5.3,0.9,Unreliable,1.7,5.8,1,0.00%
Arkansas,5,"Pulaski County, AR",5119,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,13,393956,Unreliable,1.8,5.6,0.9,Unreliable,1.7,5.3,0.9,0.00%
Arkansas,5,"Pulaski County, AR",5119,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,33,393956,8.4,5.8,11.8,1.5,9,6.2,12.7,1.6,0.00%
